Landkreis,Einwohner,Income,0-34,35-79,80+,Total_Cases,D(0-34),D(35-79),D(80+),Total_Deaths,Area,Density,Einwohner(0-34),Einwohner(35-79),Einwohner(80+),west(0)/east(1)
Ahrweiler,129727.0,22962.0,954,1203,203,2360,0,10,24,34,787.02,164.8331681532871,43494.0,69124.0,17109.0,0.0
Aichach-Friedberg,133596.0,24748.0,1162,1733,255,3150,0,15,50,65,780.24,171.2242386957859,49429.0,70536.0,13631.0,0.0
Alb-Donau-Kreis,196047.0,22884.0,1680,2444,467,4591,0,15,88,103,1358.55,144.30606160980457,75631.0,100528.0,19888.0,0.0
Altenburger Land,90118.0,18822.0,883,2354,670,3907,1,22,54,77,569.41,158.26557313710683,23972.0,51474.0,14672.0,1.0
Altmarkkreis Salzwedel,83765.0,19255.0,226,640,177,1043,0,7,25,32,2293.05,36.52994919430453,25467.0,47428.0,10870.0,1.0
Altötting,11121.0,22865.0,1118,1725,428,3271,0,22,108,130,569.29,19.534859210595656,40287.0,58148.0,12775.0,0.0
Alzey-Worms,129244.0,22245.0,925,1604,285,2814,0,24,54,78,588.07,219.7765572125767,46134.0,70834.0,12276.0,0.0
Amberg,4197.0,21583.000000000004,283,402,41,726,0,4,4,8,50.13,83.72232196289646,15014.0,21684.0,5272.0,0.0
Amberg-Sulzbach,103109.0,21427.0,734,1466,356,2556,0,21,79,100,1255.87,82.1016506485544,36196.0,55544.0,11369.0,0.0
Ammerland,124071.0,21515.0,633,835,90,1558,0,11,11,22,730.57,169.8276688065483,43408.0,65867.0,14796.0,0.0
Anhalt-Bitterfeld,159854.0,18669.0,656,1656,280,2592,0,12,17,29,1453.54,109.97564566506598,44787.0,91158.0,23909.0,1.0
Ansbach,225796.0,22278.35373523003,1802,2640,493,4935,0,39,70,109,2071.24,109.01488963133197,84038.0,117850.0,23908.0,0.0
Aschaffenburg,244735.0,23802.684675260996,2271,3580,701,6552,0,52,144,196,761.35,321.4487423655349,86959.0,130951.0,26825.0,0.0
Augsburg,546669.0,21429.98664091068,7273,8872,1501,17646,0,109,247,356,1217.4899999999998,449.01313357809926,214303.0,274765.0,57601.0,0.0
Aurich,189848.0,19701.0,732,975,79,1786,0,13,10,23,1287.36,147.47079294059162,66800.0,102370.0,20678.0,0.0
Bad Dürkheim,13266.0,25615.0,808,1422,318,2548,0,28,42,70,594.64,22.309296381003634,42320.0,73945.0,16395.0,0.0
Bad Kissingen,103218.0,21738.000000000004,525,1056,305,1886,0,10,59,69,1136.84,90.79377924773935,34134.0,55690.0,13394.0,0.0
Bad Kreuznach,15808.0,21680.0,1225,1779,387,3391,0,19,57,76,863.89,18.298625982474622,54346.0,84865.0,18869.0,0.0
Bad Tölz-Wolfratshausen,127227.0,25486.0,1147,1646,184,2977,0,11,26,37,1110.67,114.54977626117568,46442.0,66217.0,14568.0,0.0
